,Name,Team,Number,Position,Age,Height,Weight,College,Salary
0,Avery Bradley,Boston Celtics,0.0,PG,25.0,1.8796000000000002,81.6466266,Texas,7730337.0
1,Jae Crowder,Boston Celtics,99.0,SF,25.0,1.9812,106.59420695,Marquette,6796117.0
3,R.J. Hunter,Boston Celtics,28.0,SG,22.0,1.9558000000000002,83.91458845000001,Georgia State,1148640.0
6,Jordan Mickey,Boston Celtics,55.0,PF,21.0,2.032,106.59420695,LSU,1170960.0
7,Kelly Olynyk,Boston Celtics,41.0,C,25.0,2.1336,107.95498406,Gonzaga,2165160.0
8,Terry Rozier,Boston Celtics,12.0,PG,22.0,1.8796000000000002,86.1825503,Louisville,1824360.0
9,Marcus Smart,Boston Celtics,36.0,PG,22.0,1.9304000000000001,99.79032140000001,Oklahoma State,3431040.0
10,Jared Sullinger,Boston Celtics,7.0,C,24.0,2.0574,117.9340162,Ohio State,2569260.0
11,Isaiah Thomas,Boston Celtics,4.0,PG,27.0,1.7526000000000002,83.91458845000001,Washington,6912869.0
12,Evan Turner,Boston Celtics,11.0,SG,27.0,2.0066,99.79032140000001,Ohio State,3425510.0
13,James Young,Boston Celtics,13.0,SG,20.0,1.9812,97.52235955,Kentucky,1749840.0
14,Tyler Zeller,Boston Celtics,44.0,C,26.0,2.1336,114.75886961,North Carolina,2616975.0
16,Markel Brown,Brooklyn Nets,22.0,SG,24.0,1.905,86.1825503,Oklahoma State,845059.0
17,Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,1.9304000000000001,90.718474,North Carolina,1500000.0
18,Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,2.0066,99.79032140000001,Arizona,1335480.0
19,Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,1.905,90.718474,Georgia Tech,6300000.0
21,Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,1.9304000000000001,99.33672903,Cincinnati,134215.0
22,Shane Larkin,Brooklyn Nets,0.0,PG,23.0,1.8034000000000001,79.37866475,Miami (FL),1500000.0
23,Brook Lopez,Brooklyn Nets,11.0,C,28.0,2.1336,124.73790175,Stanford,19689000.0
24,Chris McCullough,Brooklyn Nets,1.0,PF,21.0,2.1082,90.718474,Syracuse,1140240.0
25,Willie Reed,Brooklyn Nets,33.0,PF,26.0,2.0828,99.79032140000001,Saint Louis,947276.0
26,Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,2.0828,107.50139169,Kansas,981348.0
27,Henry Sims,Brooklyn Nets,14.0,C,26.0,2.0828,112.49090776,Georgetown,947276.0
28,Donald Sloan,Brooklyn Nets,15.0,PG,28.0,1.905,92.98643585,Texas A&M,947276.0
29,Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,2.032,100.24391377,Georgia Tech,11235955.0
30,Arron Afflalo,New York Knicks,4.0,SG,30.0,1.9558000000000002,95.2543977,UCLA,8000000.0
31,Lou Amundson,New York Knicks,17.0,PF,33.0,2.0574,99.79032140000001,UNLV,1635476.0
33,Carmelo Anthony,New York Knicks,7.0,SF,32.0,2.032,108.8621688,Syracuse,22875000.0
35,Cleanthony Early,New York Knicks,11.0,SF,25.0,2.032,95.2543977,Wichita State,845059.0
36,Langston Galloway,New York Knicks,2.0,SG,24.0,1.8796000000000002,90.718474,Saint Joseph's,845059.0
37,Jerian Grant,New York Knicks,13.0,PG,23.0,1.9304000000000001,88.45051215000001,Notre Dame,1572360.0
38,Robin Lopez,New York Knicks,8.0,C,28.0,2.1336,115.66605435000001,Stanford,12650000.0
39,Kyle O'Quinn,New York Knicks,9.0,PF,26.0,2.0828,113.3980925,Norfolk State,3750000.0
42,Lance Thomas,New York Knicks,42.0,SF,28.0,2.032,106.59420695,Duke,1636842.0
44,Derrick Williams,New York Knicks,23.0,PF,25.0,2.032,108.8621688,Arizona,4000000.0
45,Tony Wroten,New York Knicks,5.0,SG,23.0,1.9812,92.98643585,Washington,167406.0
47,Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,1.8288000000000002,91.17206637000001,Murray State,947276.0
48,Robert Covington,Philadelphia 76ers,33.0,SF,25.0,2.0574,97.52235955,Tennessee State,1000000.0
49,Joel Embiid,Philadelphia 76ers,21.0,C,22.0,2.1336,113.3980925,Kansas,4626960.0
50,Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,2.032,95.2543977,Syracuse,845059.0
